time,vout,iout,
8.79E-09,3.28E-23,-6.56E-25,#REF!
8.81E-09,3.28E-23,-6.55E-25,#REF!
8.83E-09,3.27E-23,-6.54E-25,#REF!
8.85E-09,3.27E-23,-6.53E-25,#REF!
8.87E-09,3.26E-23,-6.52E-25,#REF!
8.89E-09,3.25E-23,-6.51E-25,#REF!
8.91E-09,3.25E-23,-6.50E-25,#REF!
8.93E-09,3.24E-23,-6.49E-25,#REF!
8.95E-09,3.24E-23,-6.47E-25,#REF!
8.97E-09,3.23E-23,-6.46E-25,#REF!
8.99E-09,3.23E-23,-6.45E-25,#REF!
9.01E-09,3.22E-23,-6.44E-25,#REF!
